ID	Label	Entity Short Form	Tags	Type	SubType	Description	OrgClass	OrgSubType	Portfolio	URL	Source of Entry	Admin Notes	Data Provider	Record Status	Last Modified By	Created	French Entity Full Name	French Short Form	French Description	French URL
GCDE:0005016	18F		DataCentric 	Organizations	Teams 	18F is a technology and design consultancy for the U.S. Government, inside the government. 18F partners with agencies to improve the user experience of government services by helping them build and buy technology.	Other Government			https://18f.gsa.gov/				Essential data complete	Thom Kearney	6/9/2022				
GCDE:0004261	2010 Land Cover Of Canada		Climate, Geospatial	Dataset	Web Map Services	Geospatial Dataset	Government of Canada			https://geoappext.nrcan.gc.ca/arcgis/rest/services/FGP/LandCover_EN/MapServer/0	From FGP	Supports OSDP  Land Cover Map		Legacy	Thom Kearney	2/11/2022				
GCDE:0004262	2015 Land Cover Of Canada		Climate, Geospatial	Dataset	Web Map Services	Geospatial Dataset	Government of Canada			https://geoappext.nrcan.gc.ca/arcgis/rest/services/FGP/canada_landcover_2015_en/MapServer	From FGP	Supports OSDP  Land Cover Map		Legacy	Thom Kearney	2/11/2022				
GCDE:0005010	2022 Update to the GC Data Strategy Roadmap		DataCentric , DigitalAmbition, DataTalent, DigitalTalent	Projects and Initiatives		To recognize the project.	GC Interdepartmental			https://gcxgce.sharepoint.com/teams/0307 				Essential data complete	Thom Kearney	6/8/2022				
GCDE:0005030	AAFC Data Stewardship Network		DataStewardship	Communities			Government of Canada				Data Stewardship Quest			Essential data complete	Thom Kearney	6/17/2022				
GCDE:0004263	Aboriginal Agreements		Geospatial, Indigenous	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/82cad281-ff7d-47b3-b2ce-9f794257e86d	From OPEN DATA and From FGP		Crown-Indigenous Relations and Northern Affairs Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0000547	About Gender-based Analysis Plus (GBA+)		D&I	Projects and Initiatives	Other 	GBA is an analytical process that provides a rigorous method for the assessment of systemic inequalities, as well as a means to assess how diverse groups of women, men, and gender diverse people may experience policies, programs and initiatives.	GC Interdepartmental			https://women-gender-equality.canada.ca/en/gender-based-analysis-plus/what-gender-based-analysis-plus.html				Legacy	Thom Kearney	6/15/2021	Analyse comparative entre les sexes plus		LACS est un processus analytique qui fournit une mthode rigoureuse pour valuer les ingalits systmiques, ainsi quun moyen de dterminer comment diffrents groupes de femmes, dhommes et de personnes de diverses identits de genre peuvent vivre les politiques, programmes et initiatives.	https://femmes-egalite-genres.canada.ca/fr/analyse-comparative-entre-sexes-plus/est-analyse-comparative-entre-sexes-plus.html
GCDE:0004882	Acceptable approaches for IT to enable Data Science Teams		DataCentric 	Other			Government of Canada				Data Talent Quest April 2022	High value gap		Potential - needs details	Thom Kearney	5/3/2022				
GCDE:0004817	Access to Statistics Canada Confidential Data - Confidentiality Document: Template		Document	Policy Instruments	Guidelines	Access to Statistics Canada Confidential Data  Confidentiality Document Template	Government of Canada			https://www.statcan.gc.ca/en/about/accountability/receiving/obligation-duties/confidentiality-temp				Legacy	Thom Kearney	4/25/2022				
GCDE:0005121	Accessibility Strategy for the Public Service of Canada		D&I	Policy Instruments			Government of Canada			https://www.canada.ca/en/government/publicservice/wellness-inclusion-diversity-public-service/diversity-inclusion-public-service/accessibility-public-service/accessibility-strategy-public-service-toc.html				Essential data complete	Thom Kearney	8/8/2022				
GCDE:0001943	Accessible Canada Directorate (ACD)		ESDC-DEMO	Teams				Directorate						Legacy	Thom Kearney	10/6/2021				
GCDE:0005029	Accountable AI		AI	Policy Instruments	Guidelines	This paper considers how to ensure legal accountability when governments and public agencies use AI to make or assist decisionmaking in the civil and administrative justice systems.	Other Government			https://www.lco-cdo.org/wp-content/uploads/2022/06/LCO-Accountable_AI_Final_Report.pdf				Essential data complete	Thom Kearney	6/16/2022				
GCDE:0004264	Accumulated Precipitation (mm)		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/708992ad-bc24-4d0d-a087-17b7b5fd4d4d	From OPEN DATA and From FGP		Agriculture and Agri-Food Canada	Legacy	Thom Kearney	2/11/2022				
GCDE:0004265	Adjusted and Homogenized Canadian Climate Data (AHCCD)		Climate, Geospatial	Dataset	Geospatial	Geospatial Dataset	Government of Canada			https://gcgeo.gc.ca/geonetwork/metadata/eng/9c4ebc00-3ea4-4fe0-8bf2-66cfe1cddd1d	From OPEN DATA and From FGP		Environment and Climate Change Canada	Legacy	Thom Kearney	2/11/2022				
