defined_class_label	ID	defined_class	Count of Links	Entity Short Form	Tags	Type	SubType	OrgClass	OrgSubType	Portfolio	EntityToType (from Connections - Entity To)	EntityFromType (from Connections - Entity From)	definition_source	Source of Entry	Contributor - Private	Admin Flag	Data Provider	Possible Duplicate	Record Status	Attachments	DataSize	Climate Size	Not4DERD	Has Data Strategy?	Count (Tags)	Last Modified By	Last Modified	Created	Connections - Entity From	Connections - Entity To	To ID	From ID	parent_class	Count (Connections - Entity From)	Count (Connections - Entity To)	Entity To Tags (from Connections - Entity To)	Entity From Tags (from Connections - Entity From)	URL 2	Image	French Entity Full Name	Entity Type FR (from Type)	Entity sub-type FR (from SubType)	French Short Form	FrenchOrgClassName (from OrgClass 2)	French URL	FrenchAvail?	Add new entity form text	Entity Lookup	Form Section - finished required	Comments Test	Suggested Tags	Contacts	DigitalTalentSize	Entity To (from Connections - Entity From)	Entity From (from Connections - Entity To)	ID Text	Entity Type Eng (from Type)	Entity sub-type (from SubType)	Name (from OrgClass)	Name (from Portfolio)	Name (from Tags)
18F	5016	GCDE:0005016	0		DataCentric 	Organizations	Teams 	Other Government					https://18f.gsa.gov/						Essential data complete						1	Thom Kearney	2023-03-20 07:32	2022-06-09						0	0						Organisations 	Équipes														5016	Organizations	Teams 	Other Government		DataCentric 
2010 Land Cover Of Canada	4261	GCDE:0004261	1		Climate, Geospatial	Dataset	Web Map Services	Government of Canada			Dataset		https://geoappext.nrcan.gc.ca/arcgis/rest/services/FGP/LandCover_EN/MapServer/0	From FGP					Legacy				checked		2	Thom Kearney	2023-03-20 07:32	2022-02-11		4004	4004			1	0	Climate, Geospatial					Ensemble de données	Services de cartes Web		Gouvernement du Canada						Unnamed record					Federal Geospatial Platform	4261	Dataset	Web Map Services	Government of Canada		Climate, Geospatial
2015 Land Cover Of Canada	4262	GCDE:0004262	1		Climate, Geospatial	Dataset	Web Map Services	Government of Canada			Dataset		https://geoappext.nrcan.gc.ca/arcgis/rest/services/FGP/canada_landcover_2015_en/MapServer	From FGP					Legacy				checked		2	Thom Kearney	2023-03-20 07:32	2022-02-11		4005	4005			1	0	Climate, Geospatial					Ensemble de données	Services de cartes Web		Gouvernement du Canada											Federal Geospatial Platform	4262	Dataset	Web Map Services	Government of Canada		Climate, Geospatial
2022 Update to the GC Data Strategy Roadmap	5010	GCDE:0005010	8		DataCentric , DigitalAmbition, DataTalent, DigitalTalent	Projects and Initiatives		GC Interdepartmental			Projects and Initiatives, Projects and Initiatives, Projects and Initiatives, Projects and Initiatives, Projects and Initiatives, Projects and Initiatives	Projects and Initiatives, Projects and Initiatives	https://gcxgce.sharepoint.com/teams/0307 						Essential data complete		2				4	Thom Kearney	2023-03-20 07:32	2022-06-08	5891, 6004	5677, 5678, 5679, 5680, 5892, 6025	5677, 5678, 5679, 5680, 5892, 6025	5891, 6004		6	2	DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent	DataCentric , DigitalAmbition, DataTalent, DigitalTalent, DataCentric , DigitalAmbition, DataTalent, DigitalTalent				Projets / initiatives  												1	Report to the Clerk of Privy Council: A Data Strategy Roadmap for the Federal Public Service, Data Strategy Renewal: What we heard report (Summer 2022)	TBS - Office of the Chief Information Officer (OCIO), Privy Council Office (PCO), Statistics Canada (StatCan), Canada School of Public Service (CSPS), OCIO - GC Chief Data Office, GC Data Community (GCDC)	5010	Projects and Initiatives		GC Interdepartmental		DataCentric , DigitalAmbition, DataTalent, DigitalTalent
AAFC Data Stewardship Network	5030	GCDE:0005030	1		DataStewardship	Communities		Government of Canada			Communities			Data Stewardship Quest	Glenn Caron				Essential data complete				checked		1	Thom Kearney	2023-03-20 07:32	2022-06-17		5840	5840			1	0	DataStewardship					Communautés 			Gouvernement du Canada						Unnamed record					Agriculture and Agri-Food Canada (AAFC)	5030	Communities		Government of Canada		DataStewardship
Aboriginal Agreements	4263	GCDE:0004263	3		Geospatial, Indigenous	Dataset	Geospatial	Government of Canada			Dataset, Dataset, Dataset		https://gcgeo.gc.ca/geonetwork/metadata/eng/82cad281-ff7d-47b3-b2ce-9f794257e86d	From OPEN DATA and From FGP			Crown-Indigenous Relations and Northern Affairs Canada		Legacy				checked		2	Thom Kearney	2023-03-20 07:32	2022-02-11		4006, 4007, 4008	4006, 4007, 4008			3	0	Geospatial, Indigenous, Geospatial, Indigenous, Geospatial, Indigenous					Ensemble de données	Géospatial		Gouvernement du Canada											Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC), Federal Geospatial Platform, Open Data Portal	4263	Dataset	Geospatial	Government of Canada		Geospatial, Indigenous
About Gender-based Analysis Plus (GBA+)	547	GCDE:0000547	1		D&I	Projects and Initiatives	Other 	GC Interdepartmental			Projects and Initiatives		https://women-gender-equality.canada.ca/en/gender-based-analysis-plus/what-gender-based-analysis-plus.html						Legacy						1	Thom Kearney	2023-03-20 07:32	2021-06-15		626	626			1	0	D&I				Analyse comparative entre les sexes plus	Projets / initiatives  	Autre			https://femmes-egalite-genres.canada.ca/fr/analyse-comparative-entre-sexes-plus/est-analyse-comparative-entre-sexes-plus.html										Department for Women and Gender Equality (WAGE)	547	Projects and Initiatives	Other 	GC Interdepartmental		D&I
Acceptable approaches for IT to enable Data Science Teams	4882	GCDE:0004882	0		DataCentric 	Other		Government of Canada						Data Talent Quest April 2022	Thom				Potential - needs details				checked		1	Thom Kearney	2023-03-20 07:32	2022-05-03						0	0						Autre			Gouvernement du Canada												4882	Other		Government of Canada		DataCentric 
Access to Statistics Canada Confidential Data - Confidentiality Document: Template	4817	GCDE:0004817	1		Document	Policy Instruments	Guidelines	Government of Canada			Policy Instruments		https://www.statcan.gc.ca/en/about/accountability/receiving/obligation-duties/confidentiality-temp						Legacy						1	Thom Kearney	2023-03-20 07:32	2022-04-25		5784	5784			1	0	Document					Instruments de politique	Lignes directrices		Gouvernement du Canada											Statistics Canada (StatCan)	4817	Policy Instruments	Guidelines	Government of Canada		Document
Accessibility Strategy for the Public Service of Canada	5121	GCDE:0005121	1		D&I	Policy Instruments		Government of Canada			Policy Instruments		https://www.canada.ca/en/government/publicservice/wellness-inclusion-diversity-public-service/diversity-inclusion-public-service/accessibility-public-service/accessibility-strategy-public-service-toc.html						Essential data complete						1	Thom Kearney	2023-03-20 07:32	2022-08-08		5925	5925			1	0	D&I					Instruments de politique			Gouvernement du Canada											Treasury Board of Canada Secretariat (TBS)	5121	Policy Instruments		Government of Canada		D&I
