defined_class	defined_class_label	french_term	definition	definition_source	act_source
GCDE:0045000	appropriate Minister	ministre compétent	a in relation to a parent Crown corporation,i the Minister specified by or pursuant to any other Act of Parliament as the Minister in respect of that corporation, orii if no Minister is specified as described in subparagraph i, such member of the Queen s Privy Council for Canada as is designated by order of the Governor in Council as the appropriate Minister for the corporation, andb in relation to a wholly-owned subsidiary, the appropriate Minister, as defined in paragraph a, for the parent Crown corporation that wholly owns the subsidiary;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045001	appropriation	crédit	any authority of Parliament to pay money out of the Consolidated Revenue Fund;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045002	Auditor General of Canada	vérificateur général	the officer appointed pursuant to subsection 31 of the Auditor General Act;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045003	authorized agent	agent agréé	any person authorized by the Minister to accept subscriptions for or make sales of securities;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045004	Consolidated Revenue Fund	Trésor	the aggregate of all public moneys that are on deposit at the credit of the Receiver General;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045005	Crown corporation	société d’État	a parent Crown corporation or a wholly-owned subsidiary;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045006	department	ministère	a any of the departments named in Schedule I,a.1 any of the divisions or branches of the federal public administration set out in column I of Schedule I.1,b a commission under the Inquiries Act that is designated by order of the Governor in Council as a department for the purposes of this Act,c the staffs of the Senate, House of Commons, Library of Parliament, office of the Senate Ethics Officer, office of the Conflict of Interest and Ethics Commissioner, Parliamentary Protective Service and office of the Parliamentary Budget Officer, andd any departmental corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045007	departmental corporation	établissement public	a corporation named in Schedule II;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045008	fiscal agent	agent financier	a fiscal agent appointed under this Part and includes the Bank of Canada.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045009	fiscal year	exercice	the period beginning on April 1 in one year and ending on March 31 in the next year;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045010	Minister	ministre	the Minister of Finance;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045011	money	fonds	negotiable instruments;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045012	negotiable instrument	effet de commerce	any cheque, draft, traveller s cheque, bill of exchange, postal note, money order, postal remittance and any other similar instrument;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045013	non-certificated security	valeur sans certificat	a security for which no certificate is issued and a certificated security held within a security clearing and settlement system in the custody of a custodian or nominee;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045014	parent Crown corporation	société d’État mère	a corporation that is wholly owned directly by the Crown, but does not include a departmental corporation;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045015	public money	fonds publics	all money belonging to Canada received or collected by the Receiver General or any other public officer in his official capacity or any person authorized to receive or collect such money, and includesa duties and revenues of Canada,b money borrowed by Canada or received through the issue or sale of securities,c money received or collected for or on behalf of Canada, andd all money that is paid to or received or collected by a public officer under or pursuant to any Act, trust, treaty, undertaking or contract, and is to be disbursed for a purpose specified in or pursuant to that Act, trust, treaty, undertaking or contract;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045016	public officer	fonctionnaire public	a minister of the Crown and any person employed in the federal public administration;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045017	public property	biens publics	all property, other than money, belonging to Her Majesty in right of Canada;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045018	registrar	agent comptable	a registrar appointed under this Part and includes the Bank of Canada.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045019	securities	valeurs ou titres	securities of Canada in certificated form or non-certificated securities of Canada, and includes bonds, notes, deposit certificates, non-interest bearing certificates, debentures, treasury bills, treasury notes and any other security representing part of the public debt of Canada;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045020	security certificate	certificat de valeur	a tangible certificate issued by or on behalf of Her Majesty representing part of the public debt of Canada;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045021	treasury bill	bon du Trésor	a bill in certificated form, or a non-certificated security, issued by or on behalf of Her Majesty for the payment of a principal sum specified in the bill to a named recipient or to a bearer at a date not later than twelve months after the date of issue of the bill;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045022	treasury note	billet du Trésor	a note in certificated form, or a non-certificated security, issued by or on behalf of Her Majesty for the payment of a principal sum specified in the note to a named recipient or to a bearer at a date not later than twelve months after the date of issue of the note.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045023	core public administration	administration publique centrale	the departments named in Schedule I and the other portions of the federal public administration named in Schedule IV.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045024	deputy head	administrateur général	a in relation to a department named in Schedule I, its deputy minister;b in relation to any portion of the federal public administration named in Schedule IV, its chief executive officer or, if there is no chief executive officer, its statutory deputy head or, if there is neither, the person who occupies the position designated under subsection 2 in respect of that portion;c in relation to a separate agency, its chief executive officer or, if there is no chief executive officer, its statutory deputy head or, if there is neither, the person who occupies the position designated under subsection 2 in respect of that separate agency; andd in relation to any portion of the federal public administration designated for the purposes of paragraph d of the definition public service, its chief executive officer or, if there is no chief executive officer, the person who occupies the position designated under subsection 2 in respect of that portion.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045025	public service	fonction publique	the several positions in or undera the departments named in Schedule I;b the other portions of the federal public administration named in Schedule IV;c the separate agencies named in Schedule V; andd any other portion of the federal public administration that may be designated by the Governor in Council for the purpose of this paragraph.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045026	separate agency	organisme distinct	a portion of the federal public administration named in Schedule V.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045027	statutory deputy head	administrateur général au titre de la loi	any officer who, by any Act of Parliament, is or is deemed to be a deputy head or who has, or is deemed to have, the rank of a deputy head.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045028	other debt	autre dette	any amount owing to Her Majesty, other than a tax or penalty or an amount in respect of which subsection 24.12 applies;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045029	penalty	pénalité	any forfeiture or pecuniary penalty imposed or authorized to be imposed by any Act of Parliament for any contravention of the laws relating to the collection of the revenue, or to the management of any public work producing tolls or revenue, notwithstanding that part of such forfeiture or penalty is payable to the informer or prosecutor, or to any other person;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045030	tax	taxes	any tax, impost, duty or toll payable to Her Majesty, imposed or authorized to be imposed by any Act of Parliament.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045031	funding agreement	accord de financement	in respect of a recipient, means an agreement in writing under which the recipient receives a grant, contribution or other funding from Her Majesty in right of Canada or a Crown corporation, either directly or through an agent or mandatary of Her Majesty, including by way of loan, but excludes contracts for the performance of work, the supply of goods or the rendering of services.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045032	recipient	bénéficiaire	an individual, body corporate, partnership or unincorporated organization that has, in any five consecutive fiscal years, received a total of one million dollars or more under one or more funding agreements, but does not includea a Crown corporation;b a departmental corporation;c the government of a foreign state, a provincial government or a municipality, or any of their agencies;c.1 a band, as defined in subsection 21 of the Indian Act, any member of the council or any agency of the band or an aboriginal body that is party to a self-government agreement given effect by an Act of Parliament or any of their agencies;d a corporation that is controlled by a municipality or a government other than the Government of Canada; ore an international organization.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045033	debt obligation	agent financier	a bond, debenture, note or other evidence of indebtedness of an entity, whether secured or unsecured.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045034	entity	agent comptable	an entity, including a trust, that, in the Minister s opinion, is operating in Canada.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045035	financial markets	titre de créance	markets for money, bonds, equities, derivatives, foreign exchange and commodities.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045036	financial system	entité	financial institutions, financial markets and payment systems as defined in section 36 of the Canadian Payments Act.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045037	security	marchés financiers	a in relation to a corporation, a share, a class of shares or a debt obligation of the corporation, and includes any conversion or exchange privilege, option or other right to acquire a share of the corporation; andb in relation to any other entity, any ownership interest in or debt obligation of the entity.	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045038	appropriate paying officer	système financier	in relation to a Crown debt, means the paying officer who makes the payments in respect of that debt;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045039	contract	titre	a contract involving the payment of money by the Crown;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045040	Crown	agent payeur compétent	Her Majesty in right of Canada;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
GCDE:0045041	Crown debt	marché	any existing or future debt due or becoming due by the Crown, and any other chose in action in respect of which there is a right of recovery enforceable by action against the Crown;	https://laws-lois.justice.gc.ca/eng/acts/F-11/FullText.html	'Financial Administration Act: R.S.C.: , 1985, c. F-11'
